candle_begin_time,open,high,low,close,volume
2021-04-01 00:00:00,196.69,200.82,196.68,199.45,68388.02311
2021-04-01 01:00:00,199.5,200.15,198.1,198.92,24596.36082
2021-04-01 02:00:00,198.9,199.3,197.67,198.36,14005.74715
2021-04-01 03:00:00,198.36,198.49,196.7,197.5,18176.27957
2021-04-01 04:00:00,197.5,197.69,195.0,196.25,23641.48207
2021-04-01 05:00:00,196.25,196.76,195.1,195.89,22571.34102
2021-04-01 06:00:00,195.87,197.34,195.34,195.79,21446.34805
2021-04-01 07:00:00,195.79,197.85,194.0,197.31,28712.43215
2021-04-01 08:00:00,197.32,199.45,195.78,197.78,46270.3523
2021-04-01 09:00:00,197.79,199.21,196.64,196.97,26459.41249
2021-04-01 10:00:00,196.96,197.8,195.14,195.79,25916.41348
2021-04-01 11:00:00,195.76,196.4,194.16,196.13,29037.36728
2021-04-01 12:00:00,196.13,196.46,194.86,195.8,20845.74671
2021-04-01 13:00:00,195.81,197.39,195.69,196.4,25114.9212
2021-04-01 14:00:00,196.37,202.0,195.22,201.79,78221.77708
2021-04-01 15:00:00,201.82,204.78,200.57,204.03,109642.37798
2021-04-01 16:00:00,204.03,205.0,201.67,202.62,61176.13405
2021-04-01 17:00:00,202.6,203.09,197.14,199.19,41442.46478
2021-04-01 18:00:00,199.21,200.44,195.95,200.29,54253.9682
2021-04-01 19:00:00,200.28,202.16,200.06,201.68,46154.03357
2021-04-01 20:00:00,201.68,202.56,200.82,201.18,22831.30281
2021-04-01 21:00:00,201.19,202.55,199.78,200.93,17959.90665
2021-04-01 22:00:00,200.95,202.79,200.25,202.76,22026.8758
2021-04-01 23:00:00,202.76,204.25,201.9,202.86,27850.34037
2021-04-02 00:00:00,202.87,205.55,200.78,201.39,49922.45732
2021-04-02 01:00:00,201.37,205.0,201.31,204.78,34969.85818
2021-04-02 02:00:00,204.77,209.0,204.49,206.53,107252.97909
2021-04-02 03:00:00,206.53,208.3,205.04,206.13,48000.34163
2021-04-02 04:00:00,206.12,207.0,204.42,205.5,28629.55587
2021-04-02 05:00:00,205.5,206.07,204.48,204.97,20526.18853
2021-04-02 06:00:00,204.94,205.33,203.02,204.47,37788.20389
2021-04-02 07:00:00,204.46,206.41,204.4,204.98,30624.15925
2021-04-02 08:00:00,204.99,206.86,204.85,205.45,32887.97797
2021-04-02 09:00:00,205.44,207.12,204.4,205.6,30823.75239
2021-04-02 10:00:00,205.59,205.59,204.3,204.87,15249.61931
2021-04-02 11:00:00,204.86,205.92,204.18,205.83,20327.65478
2021-04-02 12:00:00,205.81,206.34,203.1,204.81,31560.63104
2021-04-02 13:00:00,204.8,204.84,201.23,202.82,36583.42202
2021-04-02 14:00:00,202.84,207.79,202.53,207.45,50291.95552
2021-04-02 15:00:00,207.45,209.44,206.61,207.97,59362.38064
2021-04-02 16:00:00,207.97,211.92,206.06,208.87,89661.76647
2021-04-02 17:00:00,208.92,208.99,206.28,206.92,33743.75989
2021-04-02 18:00:00,206.92,207.36,205.31,205.9,23298.90031
2021-04-02 19:00:00,205.91,205.91,203.47,205.18,31294.08621
2021-04-02 20:00:00,205.23,207.67,204.66,206.98,21325.22082
2021-04-02 21:00:00,206.98,208.55,206.02,208.42,22374.69061
2021-04-02 22:00:00,208.42,208.52,206.13,207.38,20940.37668
2021-04-02 23:00:00,207.35,213.77,207.26,211.46,65530.79196
2021-04-03 00:00:00,211.44,214.68,211.27,213.42,42273.00883
2021-04-03 01:00:00,213.44,213.46,209.69,211.35,25892.25428
2021-04-03 02:00:00,211.35,211.46,209.58,211.46,19877.76528
2021-04-03 03:00:00,211.46,212.64,210.5,210.89,21749.58768
2021-04-03 04:00:00,210.87,212.55,210.46,212.35,13965.4975
2021-04-03 05:00:00,212.36,212.9,211.67,212.04,16946.65841
2021-04-03 06:00:00,212.03,217.67,211.44,216.32,67597.04954
2021-04-03 07:00:00,216.35,216.4,214.58,215.59,33077.41891
2021-04-03 08:00:00,215.6,217.97,211.56,213.13,59028.93894
2021-04-03 09:00:00,213.16,214.41,209.9,214.31,45207.26988
2021-04-03 10:00:00,214.3,215.94,213.76,214.5,33618.91008
2021-04-03 11:00:00,214.51,216.07,212.96,213.37,25310.36529
2021-04-03 12:00:00,213.37,215.07,212.53,214.1,23282.44117
2021-04-03 13:00:00,214.1,215.45,213.15,214.66,22572.11964
2021-04-03 14:00:00,214.65,215.0,211.21,211.36,28339.73278
2021-04-03 15:00:00,211.34,212.32,206.72,207.25,66039.58407
2021-04-03 16:00:00,207.2,210.44,204.61,206.8,64811.37315
2021-04-03 17:00:00,206.84,206.93,201.6,203.46,71102.68374
2021-04-03 18:00:00,203.45,206.72,199.95,206.6,70767.38606
2021-04-03 19:00:00,206.59,207.12,204.38,206.07,25966.24123
2021-04-03 20:00:00,206.05,206.05,201.44,202.58,22826.02618
2021-04-03 21:00:00,202.55,204.59,196.49,198.72,45506.73697
